댓글,시간,년,월,일,시,d
반가워요!친하게지내요:),2019-05-20T10:28:53.000Z,2019,05,20,10,0
Sending good vibes your way 😊 😊,2019-05-20T10:28:53.000Z,2019,05,20,10,0
소통해요~~♡♡💕,2019-05-05T12:21:44.000Z,2019,05,05,12,0
닌 헬스 왜다니냐?,2019-01-25T10:01:03.000Z,2019,01,25,10,0
그만.,2019-01-25T10:01:03.000Z,2019,01,25,10,0
만두가 뭔 애벌레같냐,2019-01-25T10:01:03.000Z,2019,01,25,10,0
저걸 혼자 다 ..?,2019-01-25T10:01:03.000Z,2019,01,25,10,0
민성 나 돈까스 먹고 싶음 부대 손바닥만한 돈까스 말고,2019-01-25T10:01:03.000Z,2019,01,25,10,0
@97_msg 6월에 전역하고 갈게>_<,2019-01-25T10:01:03.000Z,2019,01,25,10,0
라면 뭐여 미쳐꾸,2019-01-25T10:01:03.000Z,2019,01,25,10,0
잘 보고 갑니다~! 좋은하루 되세요^^,2019-01-25T10:01:03.000Z,2019,01,25,10,0
#애드펌킨연두부 #베스킨라빈스 #서브웨이 #스테이크앤치즈 #뚜레쥬르 #차슈덮밥 #텐동맛집 #커버 #비비고만두 #비비고김치,2019-05-27T05:44:16.000Z,2019,05,27,05,0
자율 ~!~~!~!~!!!조하 ㅎㅎㅎㅎ헤,2019-04-05T06:15:40.000Z,2019,04,05,06,0
수고했어영 ❤️,2019-04-05T06:15:40.000Z,2019,04,05,06,0
좋아요 누르고 갑니당~~,2019-04-05T06:15:40.000Z,2019,04,05,06,0
아니 저도 껴주세요 ㅠ,2019-04-05T06:15:40.000Z,2019,04,05,06,0
오우 퀄리티가 굿,2019-06-08T00:25:01.000Z,2019,06,08,00,1
튀김 쫄면 어떤가요? 🤔,2019-06-08T00:25:01.000Z,2019,06,08,00,1
와웅,2019-06-08T00:25:01.000Z,2019,06,08,00,1
울배우님 비비고 광고 그만할때쯤 그만 먹지 싶어여😄😄😄,2019-05-01T07:58:35.000Z,2019,05,01,07,0
좋아요^*^,2019-03-09T05:41:56.000Z,2019,03,09,05,0
#본집#설날#전#동태전#동그랑땡#비비고#비비고만두#떡갈비#아사히#슈퍼드라이#일상#데일리#소통#맞팔#선팔#일산#논산#행신#화정#이마트#미용#미용인#헤어#다이어트#망,2019-02-04T00:07:32.000Z,2019,02,04,00,1
시집가야겠어,2019-02-04T00:07:32.000Z,2019,02,04,00,1
역스마무리눈 술,2019-02-04T00:07:32.000Z,2019,02,04,00,1
안녕하세요 ! 짱구아빠중고차 최정진 입니다. 페이지내에 고객님들과 함께한 소중한 후기들이 있습니다. 중고차 시세나 궁금한점 있으시면 언제든지 문의주세요 ! 감사합니다.,2019-02-04T00:07:32.000Z,2019,02,04,00,1
맛있겠다ㅠㅠ,2019-02-04T00:07:32.000Z,2019,02,04,00,1
우앙 😭😭😭😭설 잘보내 결이❤,2019-02-04T00:07:32.000Z,2019,02,04,00,1
안녕하세요. 마곡반영구전문 이너뷰티 입니다. 반영구에 관심있으시면 제 페이지에도 놀러오세요 ^^*,2019-02-04T00:07:32.000Z,2019,02,04,00,1
"통했어요 언니ㅋㅋ저도 같은 메뉴,같은방법으로 점심클리어했어요ㅋㅋ",2019-06-17T03:32:21.000Z,2019,06,17,03,1
고향만두요😍😍,2018-12-17T16:54:41.000Z,2018,12,17,16,0
저의 최애만두는 개성새우만두이지요😁😁,2018-12-17T16:54:41.000Z,2018,12,17,16,0
오늘도 힘 !! 반가워용 ㅎㅎ,2018-12-17T16:54:41.000Z,2018,12,17,16,0
그릇이랑 테이블 셋팅이 너무예뻐요^^,2019-03-08T22:09:24.000Z,2019,03,08,22,1
그대의 솜씨는 넘사벽이오^^,2019-03-08T22:09:24.000Z,2019,03,08,22,1
김치 양념 색깔이 진짜 끝내 주네요 ~~!! 😃😋😍매콤매콤 하게 보여요!,2019-03-08T22:09:24.000Z,2019,03,08,22,1
크~~~군만두에 만 파김치 예술이겠네요🤗😍😘🤩,2019-03-08T22:09:24.000Z,2019,03,08,22,1
만두 구워줄게 놀러와~,2019-01-15T00:04:45.000Z,2019,01,15,00,1
즐거운 하루 되세용! ˃̵͈̑ᴗ˂̵͈̑,2019-01-15T00:04:45.000Z,2019,01,15,00,1
사진 잘 보고 갑니다~ 올해 여름 출산 예정인 예비맘인데 소통 괜찮으세요~?! ^^,2019-01-15T00:04:45.000Z,2019,01,15,00,1
뿜뿜이는 아직 소식없어요? 아직도 역아예요?,2019-01-15T00:04:45.000Z,2019,01,15,00,1
어므나~~조카많이 컸다아아❤️,2019-01-15T00:04:45.000Z,2019,01,15,00,1
우와 진짜 많이컸다 ㅋㅋㅋㅋ,2019-01-15T00:04:45.000Z,2019,01,15,00,1
전 4살아이 엄마랍니당^^ 육아소통해요 선팔하고갈께요!!^^,2019-01-15T00:04:45.000Z,2019,01,15,00,1
첫줄반사부탁드려요😆,2019-01-15T02:22:53.000Z,2019,01,15,02,1
피드 자ㄹ보고 가요~,2019-01-15T02:22:53.000Z,2019,01,15,02,1
너무 예쁘네요! $우와! 사진 정말 좋네요!!전자제품매입 업체 입니다^^ id클릭,2019-01-15T02:22:53.000Z,2019,01,15,02,1
최고의 조합이다👍,2019-01-15T02:22:53.000Z,2019,01,15,02,1
헐 최고의조합입니다❣️,2019-01-15T02:22:53.000Z,2019,01,15,02,1
만두는 사랑입니다🥟,2019-02-19T02:05:53.000Z,2019,02,19,02,1
좋은 느낌 담아갑니다❁,2019-02-19T02:05:53.000Z,2019,02,19,02,1
내꺼는....,2019-02-19T02:05:53.000Z,2019,02,19,02,1
안 좋은 느낌 담아갑니다 😀,2019-02-19T02:05:53.000Z,2019,02,19,02,1
그라취💕,2019-02-17T09:49:10.000Z,2019,02,17,09,0
에어프라이어 하나로 활용도가 다양하다면서요?! 저도 구매하고 싶은데 고민만 하고 있네용🤣,2019-02-17T09:49:10.000Z,2019,02,17,09,0
#건강하게살찌우기 #마른체형 #건강식단 #운동식단 #단백질식단 #운동습관 #낫또 #비비고만두 #닭가슴살 #홈브런치 #온더테이블 #그릇스타그램 #도자기그릇 #도자기접시 #플레이팅 #healthyfood #healthyhabits #onmytabletoday #shareyourtable #onthetable #homemeal #homebrunch #instalife #ceramique #loveceramics #dish #plating,2019-06-12T05:48:52.000Z,2019,06,12,05,0
고구마가 체지방 전환률이 낮다는건 첨 알았어요..🙀👍🏻 이런 정보 자주 알려주셔용ㅎㅎ,2019-06-12T05:48:52.000Z,2019,06,12,05,0
세상에나. 이뿌게도 담았지뭐에요🥰,2019-06-12T05:48:52.000Z,2019,06,12,05,0
좋은 정보 감사합니다 👍,2019-06-12T05:48:52.000Z,2019,06,12,05,0
너무 맛있는 한접시😍🙏🏻,2019-06-12T05:48:52.000Z,2019,06,12,05,0
오~ 고구마가 그렇게 좋은 아이였군요🤗 요렇게 이쁘게 해서 먹으면 다이어트도 힘내서 할수 있을것 같아요👍,2019-06-12T05:48:52.000Z,2019,06,12,05,0
우와- ❤️,2019-06-12T05:48:52.000Z,2019,06,12,05,0
오호 고구마❤️ 다시 고구마에 사랑좀 죠야겟어요ㅎㅎ 요새저는 단호박파랍니닷😁,2019-06-12T05:48:52.000Z,2019,06,12,05,0
우와! 사진보고 식단 따라해도 되겠어요 ㅎㅎㅎ자주올게요❤️,2019-06-12T05:48:52.000Z,2019,06,12,05,0
만두맛잇죵😉저두오늘만두사서왓네용,2019-01-22T12:16:37.000Z,2019,01,22,12,0
안녕하세요! 광주충장로에 위치한 남성의류 전문 스피어입니다. 매력남이 되시려면 구경오세요~,2019-01-22T12:16:37.000Z,2019,01,22,12,0
만두보니까 만두먹고싶네요😢😢,2019-01-22T12:16:37.000Z,2019,01,22,12,0
소통하실래요,2019-02-09T01:05:35.000Z,2019,02,09,01,1
맛나게 먹어라,2019-01-11T15:46:27.000Z,2019,01,11,15,0
"새해 복 많이 받으시고, 화이팅 넘치는 하루 되세요^^",2019-01-11T15:46:27.000Z,2019,01,11,15,0
스카이캐슬못보고 내안의 그놈 저녁11시20꺼 심야영화보고 새벽 1시35분에 귀가 ㄷ ㄷ,2019-01-11T15:46:27.000Z,2019,01,11,15,0
비비고 짱이짓👍,2019-01-11T15:46:27.000Z,2019,01,11,15,0
스카이캐슬 ㅋㅋㅋㅋㅋ 딴세상이죠🙈 피드보구 저도 만두 굽굽합니다🤣🤣,2019-01-11T15:46:27.000Z,2019,01,11,15,0
어머... 너무 맛있겠다.. 나의 오늘저녁메뉴네...ㅋ,2019-01-11T15:46:27.000Z,2019,01,11,15,0
비비고 최고에요😃👍🏻👍🏻👍🏻🥠🥠,2019-04-24T02:13:01.000Z,2019,04,24,02,1
인니보다싼가요?,2019-06-08T05:41:02.000Z,2019,06,08,05,0
한국맞죠,2019-06-08T05:41:02.000Z,2019,06,08,05,0
💕,2019-06-08T05:41:02.000Z,2019,06,08,05,0
안녕하세요 '제주라이프'입니다. 제주라이프를 통해 가게를 알려보세요! 문의는 DM이나 페이스북 메세지로 부탁드립니다:),2019-06-08T05:41:02.000Z,2019,06,08,05,0
와.. 솜씨 정말 대단하세요❤️소통하면서 지내고 싶어서 선팔 먼저 꾹 누르고 가겠습니다 !!ㅎ,2018-12-13T12:07:13.000Z,2018,12,13,12,0
우와 분식을 이렇게 이쁘게 플레이팅하시다니 눈로 보고 입으로 맛보구 좋네요ㅎ,2018-12-13T12:07:13.000Z,2018,12,13,12,0
이쁘게했다👍,2018-12-13T12:07:13.000Z,2018,12,13,12,0
