본문,시간,년,월,일,시,d
20190520 ,2019-05-20T10:28:53.000Z,2019,05,20,10,0
,2019-05-05T12:21:44.000Z,2019,05,05,12,0
,2019-01-25T07:05:15.000Z,2019,01,25,07,0
점심먹고 저녁에 올리기,2019-01-25T10:01:03.000Z,2019,01,25,10,0
,2019-05-27T05:44:16.000Z,2019,05,27,05,0
@__j.y___ 잘먹었습니다 꺼억❤실습끝났다!!!!!! 드디어!!!!!!! 2주간 자유다👊👊6주간 쉼없이 고생많았다 하냔아..😭 고삐풀린망아지마냥 놀아봅시더~....,2019-04-05T06:15:40.000Z,2019,04,05,06,0
,2019-01-22T14:35:09.000Z,2019,01,22,14,0
⠀⠀⠀⠀⠀⠀삼양 튀김쫄면.⠀⠀⠀쫄면 하나로는 채울 수 없는 MSG의 보충을 위해 치킨텐더와 비비고 만두를 곁들여요.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,2019-06-08T00:25:01.000Z,2019,06,08,00,1
오늘도 그냥 오지 못하고 새로운 사진의 비비고김이랑 비비고칩 사가지고 집으로~~이제는 비비고 맛에 빠져서 헤어나오지 못하는데 어쩌지 다 맛있어👍👍👍,2019-05-01T07:58:35.000Z,2019,05,01,07,0
,2019-03-09T05:41:56.000Z,2019,03,09,05,0
_🤣전 부쳐드립니다🤣.다들 새해 복 많이 받으세여💜💜💜.고결이 전 잘 부쳐유중학생때부터 했지유전 부칠때는 역시 아솨히🍺🍺우리 아빠 셀카 진짜 못 찍으심고결이는 화장이 약해서 볼터치로 포인트를 줬더니고건이 취했냐고 했어여 (이노무시키🤬🤬),2019-02-04T00:07:32.000Z,2019,02,04,00,1
,2019-06-17T03:32:21.000Z,2019,06,17,03,1
참지못하고... 만두를 튀겼지그것도 ,2018-12-17T16:54:41.000Z,2018,12,17,16,0
파김치 맛있게 먹기군만두에 감아서ᆢ미나리전에 올려서 냠냠~ㆍㆍㆍ,2019-03-08T22:09:24.000Z,2019,03,08,22,1
투게더뚜껑범인🤦‍♀️혀누야 이모가 한참 찾았단다^^ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀사진에 찍혀있어서 다행이지... 아니였음 다른 사람 의심할뻔^^ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,2019-01-15T00:04:45.000Z,2019,01,15,00,1
,2019-01-15T02:22:53.000Z,2019,01,15,02,1
아침은 만두다앙,2019-02-19T02:05:53.000Z,2019,02,19,02,1
,2019-02-17T09:49:10.000Z,2019,02,17,09,0
,2019-06-12T05:48:52.000Z,2019,06,12,05,0
오늘은 만두파티~😍부모님이 택배로 만두를잔뜩 보내주셨엉ㅎㅎ물만두 튀겨먹으니 꿀맛!! ,2019-01-22T12:16:37.000Z,2019,01,22,12,0
너무 비싼데 너무 먹고 싶어서 샀어요 ㅠㅠ,2019-02-09T01:05:35.000Z,2019,02,09,01,1
스카이캐슬보고 진정하려고 맥주..-스카이캐슬 보면서 남편이랑 괜한걱정ㅋㅋ우린 돈없어서 저렇게 공부 못시킨다🤭이제 축구나 봐야지!!-,2019-01-11T15:46:27.000Z,2019,01,11,15,0
만두는비비고지요~👍,2019-04-24T02:13:01.000Z,2019,04,24,02,1
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀싸라해요 비비고❤️태국 오기전부터 한인마트 검색하고 리스트 적었음,2019-06-08T05:41:02.000Z,2019,06,08,05,0
오늘은 치즈떡볶이김말이랑 비비고만두도 구워서!,2018-12-13T12:07:13.000Z,2018,12,13,12,0
,2019-01-01T05:32:43.000Z,2019,01,01,05,0
,2019-02-12T10:57:38.000Z,2019,02,12,10,0
오늘 저녁은 간단하게매콤달콤새콤 ,2019-03-25T13:09:17.000Z,2019,03,25,13,0
오늘은 분식데이~~🎶,2019-03-05T10:04:13.000Z,2019,03,05,10,0
.,2019-06-17T11:28:43.000Z,2019,06,17,11,0
,2019-02-04T07:00:18.000Z,2019,02,04,07,0
,2019-04-09T12:00:21.000Z,2019,04,09,12,0
"🔘[bibigo Video] bibigo Mandu Bumper(""비비고 한섬만두, 겉도 속도 잘생긴 만두가 되어라"" feat. 박서준)..",2019-01-07T04:19:00.000Z,2019,01,07,04,1
,2019-06-08T16:29:01.000Z,2019,06,08,16,0
오늘의 야식 ,2019-02-06T15:10:05.000Z,2019,02,06,15,0
"비비고 떡만두국 (dumpling soup). . . 여기가 비비고 왕국인가?. . 비비고 사골곰탕에, 비비고 만두넣고떡만두국.. . ",2019-01-19T01:16:48.000Z,2019,01,19,01,1
신랑이랑 1차로 촉발에 소주 ㅋㅋ급 2차 위층 동생집방문‥ㅋ 만두랑 단무지  엿들고출똥!!! 달달구리 엿묵쟈!!!ㅎㅎㅎ즐거웟어잉....,2019-02-15T16:18:12.000Z,2019,02,15,16,0
,2019-03-17T10:28:49.000Z,2019,03,17,10,0
,2019-03-19T08:49:15.000Z,2019,03,19,08,0
,2019-02-17T22:43:07.000Z,2019,02,17,22,1
,2019-05-15T10:22:48.000Z,2019,05,15,10,0
,2019-04-21T05:59:30.000Z,2019,04,21,05,0
다이어터 여러분 배고프시졍??하지만 이거 하나만 기억해주세요..진심을 다해 전합니다.. 만두웨건 찬양해야합니다..저의 진심이 느껴지길 바랍니다. 고맙습니다.(feat. CJ온마트) 여러분 달리세여!!💨💨.............,2019-05-14T09:39:57.000Z,2019,05,14,09,0
,2019-06-09T08:28:31.000Z,2019,06,09,08,0
짧은 일주일 봄방학에..울 집에서 하나미하자며화 목 금 손님을 세 번 치루고 토욜엔 언니랑 코스트코에주일엔 식사당번 넣어서 토욜 새벽까지 30인분 비프스튜 만들고..체력 한계로 뻗음🤦‍♀️🤦‍♀️오늘은 집에서 쉼모드로 ,2019-04-01T08:16:13.000Z,2019,04,01,08,0
,2019-02-03T00:54:42.000Z,2019,02,03,00,1
"🍽신혼밥상우리집 저녁상에 봄향기가🌿냉이된장국, 달래장에 오도독오도독 곰피 조합 굿이넹ㅋㅋ.................",2019-04-11T11:49:52.000Z,2019,04,11,11,0
만두만두만두만두❤,2019-05-16T10:48:36.000Z,2019,05,16,10,0
,2019-06-12T09:46:01.000Z,2019,06,12,09,0
오늘저녁은 떡만둣국🎶신랑이 몇날며칠 노래를 부르더니 오늘은 꼭 해달랜다😥,2019-02-20T11:19:03.000Z,2019,02,20,11,0
고기고기🥓수요일은 오빠랑 집에서 고기꾸버 먹고2차 꼬지랑 과자들이랑!.목요일은 엄마도 같이 갈비꾸버 먹고비냉 잔치국수 된찌먹고2차 엄마집에서 만두!.먹는 김에 오늘도 고기먹어야지 :)...,2019-01-11T05:34:38.000Z,2019,01,11,05,0
신랑님 출장으로 혼술타임😆,2018-12-26T16:39:46.000Z,2018,12,26,16,0
,2019-05-22T15:15:25.000Z,2019,05,22,15,0
,2019-05-10T09:47:32.000Z,2019,05,10,09,0
,2019-05-08T15:52:02.000Z,2019,05,08,15,0
,2019-03-04T09:32:32.000Z,2019,03,04,09,0
18.12.20.목.✔포토샵 신세계🙌😊✔비빔만두🥟&오돌뼈 꿀조합😋 ✔코로 문 열고 들어오는거 졸귀❤❄🐶,2018-12-21T14:00:47.000Z,2018,12,21,14,0
에어프라이어 짱조하👍속이 보여서 익는게보인다ㅋ침꼴깍😋😋냉동실에  비비고 만두밖에 없는 관계로첫개시는 군만두 굽굽🥟🥟🎶십분만 돌려도 될껄ㅋㅋ그래도 바삭바삭 맛있다🧡알아서 혼자구워주니 넘편하네🤩🤩....,2019-03-28T10:48:07.000Z,2019,03,28,10,0
