댓글,시간,년,월,일,시,d
안녕하세요~^^소통해도 될까요?💓,2019-01-09T14:18:59.000Z,2019,01,09,14,0
안녕하세요 :),2019-01-09T14:18:59.000Z,2019,01,09,14,0
오동통한 소세지에 군만두👍먹음직스러워용!!♥️,2019-01-09T14:18:59.000Z,2019,01,09,14,0
마시께따아~~~~~~~😭,2019-03-06T12:49:45.000Z,2019,03,06,12,0
👍👍👍,2019-03-06T12:49:45.000Z,2019,03,06,12,0
출장와영😍,2019-03-06T12:49:45.000Z,2019,03,06,12,0
신부수업이여?ㅎㅎ금손이다으,2019-03-06T12:49:45.000Z,2019,03,06,12,0
필라이트 가성비갑👍👍👍 그래도 초록이가 난 좀더 나은듯 ㅋㅋ,2019-02-14T13:29:30.000Z,2019,02,14,13,0
그치그치! 에어프라이어는 만두지! 코끼리 한번먹기시작하믄ㅡㅡ못끊지ㅋ,2019-02-14T13:29:30.000Z,2019,02,14,13,0
ㅋㅋㅋㅋ필라이트는 정말 가성비갑인것 같아용!ㅎㅎ 프레시보단 원조가 더 맛있는 것 같기도 하고 ㅋㅋ,2019-02-14T13:29:30.000Z,2019,02,14,13,0
Nice Photo~,2019-02-14T13:29:30.000Z,2019,02,14,13,0
〰,2019-05-17T03:08:50.000Z,2019,05,17,03,1
💛,2019-04-30T03:49:58.000Z,2019,04,30,03,1
❤️,2019-06-20T02:48:43.000Z,2019,06,20,02,1
문.의.수.익이 아직없으신가요?😞손소통 팔로워 매크로는  이제그만🤚수희에게 ⭕무료 피.드.점.검⭕ 한번 받아 보세요!👉안하면 손해인 팁👈도  알려 드려요!🙋‍♀️@qhsh2547,2019-06-20T02:48:43.000Z,2019,06,20,02,1
너무 맛있어 보이니 배가 고파지네요ㅎㅎ,2019-06-20T02:48:43.000Z,2019,06,20,02,1
진짜 수익낼 수 있는 부-업여기있어요🙋‍♀️‼️업계 최고 수익금 95마-넌'◡'@bommm._.22 꾹 눌러보기 💛,2019-06-20T02:48:43.000Z,2019,06,20,02,1
정말 오늘 미세먼지가 😭😭 눈떠서 경악했어요 ㅠ 조심하세요 따끈따끈 떡만두국 맛있겠어용🙃🙃💕,2019-01-14T05:40:20.000Z,2019,01,14,05,0
먹음직 스럽게  만드셨어요  지금 출출한데 😅  참아야 하나  어째야 하나 고민중 이네요😅,2019-01-14T05:40:20.000Z,2019,01,14,05,0
반가워요 ☺  소통하고 지내요 ~ 👴,2019-01-14T05:40:20.000Z,2019,01,14,05,0
저두 집순이♥️,2019-01-14T05:40:20.000Z,2019,01,14,05,0
비비고는 사랑이에요 정말☺️👍,2019-01-14T05:40:20.000Z,2019,01,14,05,0
떡만두국 지금 이 날씨에 최고인듯예.. 아궁.. 먹고파래이..라면먹고군침 흘리다니...몬살겠어요..제 식탐에..,2019-01-14T05:40:20.000Z,2019,01,14,05,0
요즘 미세먼지 진짜 나빠용 ㅠㅠ,2019-01-14T05:40:20.000Z,2019,01,14,05,0
우와 맛있겠어요ㅠㅠㅠ 자주놀러올게요 선팔하구 갈께용!♥️,2019-01-14T05:40:20.000Z,2019,01,14,05,0
미세먼지 제발 뿌셔뿌셔😭,2019-01-14T05:40:20.000Z,2019,01,14,05,0
ㅠㅠ 저는 이제 퇴근해서 아직 저녁도 못먹고 집에가면 저도 사골에 떡국 끓여 막을라구요~🤧🤧,2019-01-14T05:40:20.000Z,2019,01,14,05,0
비비고가 열일했나용ㅋㅋㅋ👍🏻👍🏻,2019-01-14T05:40:20.000Z,2019,01,14,05,0
먹고싶어요ㅜㅜ 그래도 인친님의 정성이 들어갔으니 무슨제품인들 상관없겠지요👍,2019-01-14T05:40:20.000Z,2019,01,14,05,0
너무 맛나보여요 😍😍 군침나요 😂😂👏,2018-12-27T11:35:13.000Z,2018,12,27,11,0
좋은 사진이네요. 제 인스타도 놀러오세요.,2018-12-27T11:35:13.000Z,2018,12,27,11,0
