본문,시간,년,월,일,시,d
,2019-01-09T14:18:59.000Z,2019,01,09,14,0
,2019-03-06T12:49:45.000Z,2019,03,06,12,0
먹방시간~~야식시간~~ 그냥 지나갈수없는 마의 시간~~이제 코끼리한캔하고 잠들어줘야지~~,2019-02-14T13:29:30.000Z,2019,02,14,13,0
어제 저녁 밥상에어프라이어 군맨듀-에어프라이어로 만든 음식 중에젤 간단하고 맛있는게 만두👍식용유 발라주는건 필수입니동그래야 바삭바삭 기름진 군만두 완성되요-날씨 더워지니 입맛 없으려해서비빔국수랑 군만두랑 해먹었더니잠깐 나가려했던 입맛 금방 돌아오쟈낭🐷🐷-종이호일을 에어프라이어 제일 하단에 깔면훨씬 노릇노릇 바삭하게 되는데위에 깔았더니 덜 바삭하게 됐어요😭-기름솔은 실리콘솔이라위생적이고 세척하기 편해요말랑말랑 기름도 잘 발라지고요,2019-05-17T03:08:50.000Z,2019,05,17,03,1
떡만두국,2019-04-30T03:49:58.000Z,2019,04,30,03,1
⠀⠀⠀⠀⠀⠀중간중간 간식 없이는 못살아😭⠀⠀⠀⠀⠀⠀⠀⠀⠀,2019-06-20T02:48:43.000Z,2019,06,20,02,1
,2019-04-15T03:34:41.000Z,2019,04,15,03,1
ㆍ,2019-01-14T05:40:20.000Z,2019,01,14,05,0
,2019-06-04T07:55:43.000Z,2019,06,04,07,0
28.11.18 Dinner. Primo. 비비고왕교자&춘권Secondo. 해물짬뽕얼큰한 해물 듬뿍 ,2018-12-27T11:35:13.000Z,2018,12,27,11,0
,2018-12-23T11:42:56.000Z,2018,12,23,11,0
,2019-03-24T13:24:03.000Z,2019,03,24,13,0
내가 구운 만두❤ 세젤맛😋👍👍👍,2019-06-03T23:20:01.000Z,2019,06,03,23,1
,2019-02-17T04:48:37.000Z,2019,02,17,04,1
🕯,2019-05-19T12:11:54.000Z,2019,05,19,12,0
.짜장면.,2019-02-10T11:03:13.000Z,2019,02,10,11,0
,2019-01-28T05:39:49.000Z,2019,01,28,05,0
,2018-12-18T09:29:39.000Z,2018,12,18,09,0
